Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-11,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Term Deposit,2000,5000000,Online,6.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-11,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Term Savings Account Issue 092,500,2000000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-11,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Term Savings Account Issue 092,5000,500000,Online,12.0,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,1|2|3 2 Year Fixed Rate Bond,500,2000000,Offline,12.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-11,UK,London,TSB,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Bond,1,1000000,Online,24.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-11,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Limited Edition Fixed Term Deposit,2000,1000000,Offline,24.0,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Saver ,2000,1000000,Offline,36.0,Fixed,0.70%,0.70%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,1|2|3 1 Year Fixed Rate Bond,500,2000000,Offline,12.0,Fixed,0.70%,0.70%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Rate Saver,2000,1000000,Offline,24.0,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-11,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 Month Limited Edition Fixed Term Deposit,2000,1000000,Offline,12.0,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-11,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Saver - 2 Year ,500,,Online,24.0,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-11,UK,London,Santander Bank,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Rate Bond,500,2000000,Online,24.0,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-11,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Saver,2000,1000000,Offline,12.0,Fixed,0.50%,0.50%,comparethemarket.com
