Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Rate Cash E-ISA Issue 306,20000,,Online,24.0,Fixed,1.66%,1.66%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Cash E-ISA Issue 313,20000,,Online,36.0,Fixed,2.00%,2.00%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Easy Access Cash E-ISA Issue 22,20000,,Online,,Fixed,1.21%,1.21%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Regular E-Saver Issue 9,250,,Online,,Fixed,2.25%,2.25%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Saving to Buy Issue 7,30000,,Online,,Fixed,0.75%,0.75%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate E-Bond Issue 313,1000000,,Online,12.0,Fixed,1.25%,1.25%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate E-Bond Issue 314,1000000,,Online,36.0,Fixed,1.50%,1.50%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Cash ISA Issue 348,20000,,Offline,12.0,Fixed,1.50%,1.50%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Rate Cash ISA Issue 352,20000,,Offline,24.0,Fixed,1.66%,1.66%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Cash ISA Issue 347,20000,,Offline,36.0,Fixed,2.00%,2.00%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Savings,_MSBF,Regular Saver Issue 9,250,,Offline,,Fixed,2.25%,2.25%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Bond Issue 358,1000000,,Offline,12.0,Fixed,1.25%,1.25%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Bond Issue 359,1000000,,Offline,36.0,Fixed,1.50%,1.50%
 2018-03-23,UK,London,Virgin Money Plc.,VM,GBP,Bank,Deposits,Current,_MCCF,Essential Current Account,100000,,Variable,,Fixed,0.75%,0.75%
