Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,4.2,,20.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.24,4.2,,15.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,3 Year Fixed Rate,"5,000",Offline,,Fixed,2.64,4.3,,10.0,Existing Customers ,Primary Residence,Principal + Interest,3,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.04,3.6,,40.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.09,3.6,,30.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.14,3.7,,25.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.34,3.9,,20.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.44,4.0,,15.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,5 Year Fixed Rate,"5,000",Offline,,Fixed,2.84,4.1,,10.0,Existing Customers ,Primary Residence,Principal + Interest,5,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.39,4.4,,40.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,2.19,4.5,,10.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.44,4.3,,30.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.49,4.3,,25.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.69,4.4,,20.0,Existing Customers ,Primary Residence,Principal + Interest,2,
03-19-2018,UK,London,The Co-operative Bank,GBP,Bank,Mortgages,Mortgages,2 Year Fixed Rate,"5,000",Offline,,Fixed,1.79,4.4,,15.0,Existing Customers ,Primary Residence,Principal + Interest,2,
