Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-06,UK,London,Santander Bank,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.24% until 02/07/2023,,Offline,10,Variable,2.24%,3.28%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.25% until 01/07/2023,,Offline,10,Variable,2.25%,3.98%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.26% until 30/06/2023,,Offline,10,Variable,2.26%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,HSBC,HSBA,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% until 31/05/2023,,Offline,10,Variable,2.29%,3.39%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Santander Bank,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% until 02/07/2020,,Offline,10,Variable,2.29%,3.53%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% until 01/07/2021,,Offline,10,Variable,2.29%,4.26%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,TSB,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% until 30/06/2023,,Offline,10,Variable,2.29%,3.48%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
 2018-04-06,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% for 3 years,,Offline,10,Variable,2.29%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,comparethemarket.com
 2018-04-06,UK,London,Halifax,Private,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.29% until 30/06/2020,,Offline,10,Variable,2.29%,3.82%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,comparethemarket.com
 2018-04-06,UK,London,Virgin Money Plc.,VM,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.33% until 01/07/2023,,Offline,10,Variable,2.33%,3.96%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,comparethemarket.com
