Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10,Variable,1.94%,3.40%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10,Variable,1.94%,3.10%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,5 year Fixed,,Offline,10,Variable,1.99%,2.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15,Variable,1.94%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15,Variable,1.94%,3.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,5 year Fixed,,Offline,15,Variable,1.99%,3.20%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15,Variable,1.94%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15,Variable,1.94%,3.40%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,5 year Fixed,,Offline,15,Variable,1.99%,3.00%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15,Variable,1.94%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15,Variable,1.94%,3.30%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,5 year Fixed,,Offline,15,Variable,1.99%,2.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25,Variable,1.94%,3.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25,Variable,1.94%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,5 year Fixed,,Offline,25,Variable,1.99%,3.40%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25,Variable,1.94%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25,Variable,1.94%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,5 year Fixed,,Offline,25,Variable,1.99%,3.30%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25,Variable,1.94%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25,Variable,1.94%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank Website
 2018-04-03,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,5 year Fixed,,Offline,25,Variable,1.99%,3.30%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate,,Offline,10,Variable,3.30%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10,Variable,1.85%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate - Cashback,,Offline,10,Variable,2.04%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate - FTB Cashback Exclusive,,Offline,10,Variable,2.64%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate - FTB Cashback Exclusive,,Offline,10,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate,,Offline,15,Variable,3.30%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15,Variable,1.85%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate - Cashback,,Offline,15,Variable,2.04%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank Website
 2018-04-03,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate - FTB Cashback Exclusive,,Offline,15,Variable,2.64%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank Website
