Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,1,249,Offline,,Fixed,0.10%,0.10%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 months,2000,,Offline,6,Fixed,0.90%,0.90%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 months,2000,,Offline,12,Fixed,1.29%,1.30%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,24MCDF,24 months,2000,,Offline,24,Fixed,1.59%,1.60%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,36MCDF,36 months,2000,,Offline,36,Fixed,1.74%,1.75%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Current,_MCCF,Current Account,,2000,Offline,,Fixed,0.50%,0.50%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Current,_MCCF,Current Account,2000,,Offline,,Fixed,0.00%,0.00%,Bank website
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account ,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Savings Account Plus,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Flexi Cash ISA,1,,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Term Deposit,2000,5000000,Online,36,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Term Deposit,2000,5000000,Online,24,Fixed,1.10%,1.10%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 Month Term Deposit,2000,5000000,Online,12,Fixed,0.90%,0.90%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Term Deposit,2000,5000000,Online,6,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,B Instant Savings,1,,Offline,,Fixed,0.75%,0.75%,moneysupermarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings,1,9999,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Savings Account Plus,1,,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,1,49999,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Flexi Cash ISA,10,14999,Offline,,Fixed,0.40%,0.40%,moneysupermarket.com
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,ISA Saver Variable,1,,Offline,12,Fixed,0.35%,0.35%,Bank website
 2018-04-10,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,Everyday Saver,1,,Offline,12,Fixed,0.20%,0.20%,Bank website
